lambda_um,dlam_um,Fnu_Jy,eFnu_Jy,Flambda_cgs_A,eFlambda_cgs_A,filename,bunit
1.150679415,0.027794189,0.159374005,0.034567595,3.61E-14,7.83E-15,level2_2025W21_2C_0515_1D2_spx_l2b-v12-2025-176.fits,MJy / sr
1.205589736,0.029120524,0.167572642,0.032293042,3.46E-14,6.66E-15,level2_2025W21_2C_0515_3D2_spx_l2b-v12-2025-176.fits,MJy / sr
1.23428234,0.029813582,0.156408931,0.032082813,3.08E-14,6.31E-15,level2_2025W21_2C_0515_4D2_spx_l2b-v12-2025-176.fits,MJy / sr
1.263400658,0.030516923,0.168588562,0.03330785,3.17E-14,6.26E-15,level2_2025W22_1B_0037_1D2_spx_l2b-v12-2025-176.fits,MJy / sr
1.293494065,0.031243817,0.170631171,0.039372545,3.06E-14,7.05E-15,level2_2025W22_1B_0037_2D2_spx_l2b-v12-2025-176.fits,MJy / sr
1.324559019,0.031994177,0.174134174,0.048049195,2.98E-14,8.21E-15,level2_2025W22_1B_0037_3D2_spx_l2b-v12-2025-176.fits,MJy / sr
1.35602457,0.032754214,0.181416233,0.032917478,2.96E-14,5.37E-15,level2_2025W22_1B_0037_4D2_spx_l2b-v12-2025-176.fits,MJy / sr
1.388487495,0.033538343,0.180138172,0.040477178,2.80E-14,6.29E-15,level2_2025W22_1B_0517_1D2_spx_l2b-v12-2025-176.fits,MJy / sr
1.42137153,0.034332644,0.167087045,0.02641073,2.48E-14,3.92E-15,level2_2025W22_1B_0517_2D2_spx_l2b-v12-2025-176.fits,MJy / sr
1.44832602,0.034983719,0.169392636,0.025032851,2.42E-14,3.58E-15,level2_2025W22_1B_0284_2D2_spx_l2b-v12-2025-176.fits,MJy / sr
1.482811932,0.035816713,0.184990837,0.036080228,2.52E-14,4.92E-15,level2_2025W22_1B_0284_3D2_spx_l2b-v12-2025-176.fits,MJy / sr
1.518955636,0.036689749,0.190405788,0.032540682,2.47E-14,4.23E-15,level2_2025W22_1B_0284_4D2_spx_l2b-v12-2025-176.fits,MJy / sr
1.592518515,0.03846663,0.187539935,0.028646286,2.22E-14,3.39E-15,level2_2025W22_1B_0295_2D2_spx_l2b-v12-2025-176.fits,MJy / sr
1.623324282,0.039983358,0.191928522,0.039964925,2.18E-14,4.55E-15,level2_2025W21_2C_0187_1D3_spx_l2b-v12-2025-176.fits,MJy / sr
1.661261057,0.040917761,0.202728775,0.012972482,2.20E-14,1.41E-15,level2_2025W21_2C_0187_2D3_spx_l2b-v12-2025-176.fits,MJy / sr
1.699212178,0.041852517,0.200000941,0.022109689,2.08E-14,2.30E-15,level2_2025W21_2C_0187_3D3_spx_l2b-v12-2025-176.fits,MJy / sr
1.73870193,0.042825172,0.202606113,0.02644896,2.01E-14,2.62E-15,level2_2025W21_2C_0074_1D3_spx_l2b-v12-2025-176.fits,MJy / sr
1.778871932,0.043814582,0.19810691,0.035146894,1.88E-14,3.33E-15,level2_2025W21_2C_0074_2D3_spx_l2b-v12-2025-176.fits,MJy / sr
1.820321309,0.044835503,0.172036252,0.015001141,1.56E-14,1.36E-15,level2_2025W21_2C_0074_3D3_spx_l2b-v12-2025-176.fits,MJy / sr
1.862640214,0.04587784,0.189509491,0.034933073,1.64E-14,3.02E-15,level2_2025W21_2C_0074_4D3_spx_l2b-v12-2025-176.fits,MJy / sr
1.905383217,0.046930623,0.180578429,0.026008425,1.49E-14,2.15E-15,level2_2025W21_2C_0154_1D3_spx_l2b-v12-2025-176.fits,MJy / sr
1.949939266,0.048028062,0.180370547,0.003283332,1.42E-14,2.59E-16,level2_2025W21_2C_0154_2D3_spx_l2b-v12-2025-176.fits,MJy / sr
1.994808971,0.049133228,0.17347732,0.031330159,1.31E-14,2.36E-15,level2_2025W21_2C_0154_3D3_spx_l2b-v12-2025-176.fits,MJy / sr
